fuzz_cases,coverage_reached,mutation_aggressiveness
1, 9.642857142857144, 5
6, 11.25, 5
8, 11.428571428571429, 5
11, 11.964285714285715, 5
12, 12.142857142857142, 5
13, 12.321428571428573, 5
16, 12.5, 5
18, 12.678571428571427, 5
19, 12.857142857142856, 5
20, 13.214285714285715, 5
21, 13.392857142857142, 5
25, 13.571428571428571, 5
37, 14.285714285714285, 5
38, 15.357142857142858, 5
41, 16.428571428571427, 5
43, 16.607142857142858, 5
46, 17.5, 5
51, 17.857142857142858, 5
62, 18.21428571428571, 5
63, 18.928571428571427, 5
64, 19.28571428571429, 5
71, 19.464285714285715, 5
73, 19.642857142857142, 5
74, 19.82142857142857, 5
78, 20, 5
85, 20.357142857142858, 5
92, 20.714285714285715, 5
94, 20.892857142857142, 5
97, 21.071428571428573, 5
100, 21.428571428571427, 5
104, 21.607142857142858, 5
109, 21.785714285714285, 5
111, 21.964285714285715, 5
120, 22.142857142857142, 5
128, 22.321428571428573, 5
132, 22.5, 5
135, 22.678571428571427, 5
136, 22.857142857142858, 5
149, 23.035714285714285, 5
156, 23.214285714285715, 5
161, 23.392857142857142, 5
163, 23.75, 5
164, 25.535714285714285, 5
170, 25.71428571428571, 5
172, 25.892857142857146, 5
183, 26.071428571428573, 5
191, 26.42857142857143, 5
194, 26.607142857142858, 5
196, 26.785714285714285, 5
200, 26.96428571428571, 5
229, 27.67857142857143, 5
233, 27.857142857142858, 5
246, 28.035714285714285, 5
252, 28.214285714285715, 5
259, 28.392857142857142, 5
262, 28.57142857142857, 5
286, 28.92857142857143, 5
290, 29.107142857142858, 5
300, 29.28571428571429, 5
308, 29.82142857142857, 5
326, 30, 5
353, 31.071428571428573, 5
456, 31.25, 5
468, 31.607142857142854, 5
494, 31.96428571428571, 5
518, 32.142857142857146, 5
520, 32.32142857142858, 5
554, 32.5, 5
572, 32.67857142857143, 5
586, 33.57142857142857, 5
587, 33.75, 5
598, 33.92857142857143, 5
660, 34.464285714285715, 5
686, 34.82142857142857, 5
714, 35, 5
723, 35.35714285714286, 5
789, 35.535714285714285, 5
790, 35.714285714285715, 5
806, 35.892857142857146, 5
810, 36.07142857142857, 5
884, 36.42857142857142, 5
889, 36.78571428571429, 5
942, 36.964285714285715, 5
977, 37.142857142857146, 5
1040, 37.67857142857143, 5
1056, 37.857142857142854, 5
1071, 38.035714285714285, 5
1076, 38.21428571428571, 5
1108, 38.392857142857146, 5
1194, 38.57142857142858, 5
1199, 38.75, 5
1253, 38.92857142857143, 5
1257, 39.107142857142854, 5
1311, 39.285714285714285, 5
1321, 39.64285714285714, 5
1383, 40, 5
1391, 41.785714285714285, 5
1403, 41.964285714285715, 5
1418, 42.142857142857146, 5
1421, 42.32142857142857, 5
1438, 42.5, 5
1492, 42.67857142857142, 5
1520, 42.857142857142854, 5
1633, 43.03571428571429, 5
1638, 43.214285714285715, 5
1807, 43.392857142857146, 5
1818, 43.57142857142857, 5
1819, 43.75, 5
1925, 43.92857142857143, 5
1928, 44.107142857142854, 5
2086, 44.285714285714285, 5
2123, 44.46428571428571, 5
2179, 44.642857142857146, 5
2218, 44.82142857142858, 5
2228, 45, 5
2291, 45.17857142857143, 5
2306, 45.357142857142854, 5
2515, 45.535714285714285, 5
2525, 45.714285714285715, 5
2536, 45.89285714285714, 5
2828, 46.07142857142857, 5
2904, 46.25, 5
2961, 46.964285714285715, 5
2963, 47.67857142857143, 5
3025, 49.107142857142854, 5
3128, 49.82142857142857, 5
3267, 50, 5
3271, 50.17857142857143, 5
3343, 50.535714285714285, 5
3575, 50.71428571428571, 5
3766, 50.89285714285714, 5
3818, 51.07142857142857, 5
3830, 51.24999999999999, 5
4191, 51.42857142857142, 5
4283, 51.60714285714286, 5
4290, 52.85714285714286, 5
4419, 53.035714285714285, 5
4438, 53.214285714285715, 5
4447, 53.39285714285714, 5
4490, 53.57142857142857, 5
4547, 53.75, 5
4553, 53.92857142857142, 5
4750, 54.107142857142854, 5
4845, 54.285714285714285, 5
5078, 54.46428571428571, 5
5197, 54.64285714285714, 5
5317, 55.714285714285715, 5
5319, 55.892857142857146, 5
5554, 56.07142857142857, 5
5600, 56.25, 5
5682, 56.42857142857143, 5
5717, 56.607142857142854, 5
5797, 56.785714285714285, 5
6392, 56.96428571428571, 5
6479, 57.67857142857142, 5
6656, 58.03571428571429, 5
6662, 58.392857142857146, 5
6862, 58.75, 5
7440, 58.92857142857143, 5
7453, 59.10714285714286, 5
7566, 59.285714285714285, 5
7795, 59.464285714285715, 5
7833, 59.64285714285714, 5
7840, 60, 5
8231, 60.17857142857142, 5
8327, 60.71428571428571, 5
8447, 60.89285714285714, 5
8458, 61.07142857142858, 5
8981, 61.25000000000001, 5
9201, 61.42857142857143, 5
